sku,action,product_id,error
MEB-003,updated,gid://shopify/Product/16083917373827,
LMP-013,updated,gid://shopify/Product/15508042908035,
LMP-019,updated,gid://shopify/Product/15504126574979,
MEB-020,updated,gid://shopify/Product/15519882379651,
LMP-029,updated,gid://shopify/Product/15522414199171,
LMP-033,NOT_FOUND,,
LMP-037,updated,gid://shopify/Product/15519859081603,
LMP-059,updated,gid://shopify/Product/15519980290435,
MEB-060,updated,gid://shopify/Product/15519988580739,
MEB-066,updated,gid://shopify/Product/16083916947843,
MEB-068,updated,gid://shopify/Product/16083916915075,
LMP-072,updated,gid://shopify/Product/15522386641283,
LMP-077,updated,gid://shopify/Product/16083916030339,
LMP-078,updated,gid://shopify/Product/16083917472131,
LMP-080,updated,gid://shopify/Product/16083916095875,
MEB-084,NOT_FOUND,,
LMP-086,updated,gid://shopify/Product/15520163594627,
DEK-100,updated,gid://shopify/Product/15520140689795,
MEB-105,updated,gid://shopify/Product/15519934415235,
DEK-111,updated,gid://shopify/Product/15583969149315,
DEK-119,updated,gid://shopify/Product/15520149963139,
DEK-120,updated,gid://shopify/Product/15522388509059,
LMP-123,updated,gid://shopify/Product/16083916587395,
LMP-132,updated,gid://shopify/Product/15522421670275,
DEK-133,updated,gid://shopify/Product/15522427470211,
AKC-136,updated,gid://shopify/Product/16083915768195,
MEB-142,updated,gid://shopify/Product/16083915899267,
LMP-146,updated,gid://shopify/Product/16083916685699,
DEK-147,updated,gid://shopify/Product/16083915997571,
DEK-148,updated,gid://shopify/Product/16083917144451,
DEK-150,updated,gid://shopify/Product/15522480521603,
AKC-151,updated,gid://shopify/Product/16083915702659,
DEK-166,updated,gid://shopify/Product/15520169034115,
DEK-179,NOT_FOUND,,
LMP-182,updated,gid://shopify/Product/16083917341059,
SER-191,updated,gid://shopify/Product/16083916816771,
DEK-250,NOT_FOUND,,
AKC-196,updated,gid://shopify/Product/16083916161411,
AKC-197,updated,gid://shopify/Product/16083916259715,
AKC-198,updated,gid://shopify/Product/16083916358019,
AKC-201,updated,gid://shopify/Product/16083916226947,
SER-202,updated,gid://shopify/Product/16083917504899,
SER-211,updated,gid://shopify/Product/16083917046147,
LMP-214,updated,gid://shopify/Product/16083917111683,
LMP-216,updated,gid://shopify/Product/16083917734275,
SER-219,updated,gid://shopify/Product/16083917767043,
AKC-221,updated,gid://shopify/Product/16083917865347,
AKC-222,updated,gid://shopify/Product/16083917570435,
